subject,TR,experiment,Model,Manufacturer
VUIISXNAT04_S17263,3.0,VUIISXNAT04_E232694,DISCOVERY_MR750,GE
VUIISXNAT04_S17705,3.0,VUIISXNAT04_E232606,Prisma_fit,Siemens
VUIISXNAT04_S17533,3.0,VUIISXNAT04_E232134,Prisma_fit,Siemens
VUIISXNAT04_S17644,3.0,VUIISXNAT04_E232325,Achieva_dStream,Philips
VUIISXNAT04_S17230,3.0,VUIISXNAT04_E232685,Prisma_fit,Siemens
VUIISXNAT04_S17230,3.0,VUIISXNAT04_E231819,Prisma_fit,Siemens
VUIISXNAT04_S17230,3.0,VUIISXNAT04_E231738,Prisma_fit,Siemens
VUIISXNAT04_S17196,3.0,VUIISXNAT04_E231644,Signa_HDxt,GE
VUIISXNAT04_S17079,3.0,VUIISXNAT04_E231538,Achieva,Philips
VUIISXNAT04_S17079,3.0,VUIISXNAT04_E231239,Achieva,Philips
VUIISXNAT04_S17079,3.0,VUIISXNAT04_E230989,Achieva,Philips
VUIISXNAT04_S17079,3.0,VUIISXNAT04_E231424,Achieva,Philips
VUIISXNAT04_S17079,3.0,VUIISXNAT04_E231115,Achieva,Philips
VUIISXNAT04_S17598,3.0,VUIISXNAT04_E232265,DISCOVERY_MR750,GE
VUIISXNAT04_S17684,3.0,VUIISXNAT04_E232567,Prisma_fit,Siemens
VUIISXNAT04_S17057,3.0,VUIISXNAT04_E231249,Achieva,Philips
VUIISXNAT04_S17057,3.0,VUIISXNAT04_E231512,Achieva,Philips
VUIISXNAT04_S17057,3.0,VUIISXNAT04_E231078,Achieva,Philips
VUIISXNAT04_S17057,3.0,VUIISXNAT04_E230967,Achieva,Philips
VUIISXNAT04_S17057,3.0,VUIISXNAT04_E231382,Achieva,Philips
VUIISXNAT04_S17276,3.0,VUIISXNAT04_E231805,Prisma,Siemens
VUIISXNAT04_S17587,3.0,VUIISXNAT04_E232636,DISCOVERY_MR750,GE
VUIISXNAT04_S17587,3.0,VUIISXNAT04_E232247,DISCOVERY_MR750,GE
VUIISXNAT04_S17508,0.607,VUIISXNAT04_E232089,Prisma_fit,Siemens
VUIISXNAT04_S17645,3.0,VUIISXNAT04_E232326,Achieva_dStream,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E230916,Ingenia,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E231074,Ingenia,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E231640,Ingenia,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E231479,Ingenia,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E231173,Ingenia,Philips
VUIISXNAT04_S17006,3.0,VUIISXNAT04_E231350,Ingenia,Philips
VUIISXNAT04_S17570,3.0,VUIISXNAT04_E232211,TrioTim,Siemens
VUIISXNAT04_S17218,0.607,VUIISXNAT04_E232522,Prisma,Siemens
VUIISXNAT04_S17218,0.607,VUIISXNAT04_E231735,Prisma,Siemens
VUIISXNAT04_S17218,0.607,VUIISXNAT04_E231714,Prisma,Siemens
VUIISXNAT04_S17218,0.607,VUIISXNAT04_E232369,Prisma,Siemens
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231622,Achieva,Philips
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231243,Achieva,Philips
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231420,Achieva,Philips
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231003,Achieva,Philips
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231558,Achieva,Philips
VUIISXNAT04_S17093,3.0,VUIISXNAT04_E231143,Achieva,Philips
VUIISXNAT04_S17089,3.0,VUIISXNAT04_E231105,Intera,Philips
